rule,class,projection,block,stride,e0,e1,e2,e3,e4,coverage_h4,repair_h4,raw_compression
130,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.05636842105263158
131,II,majority,3,1,0.07466363636363636,0.056429872495446266,0.014963503649635036,0.020840950639853747,0.02009157509157509,0.9277106227106227,0.7309054839798782,0.09826315789473684
132,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,0.995,,0.006421052631578947
133,II,majority,3,1,0.12914545454545454,0.05000910746812386,0.01332116788321168,0.011672760511882999,0.011666666666666667,0.96,0.9096625838847435,0.013210526315789473
134,II,majority,3,1,0.20167272727272728,0.12084699453551913,0.10334854014598541,0.038345521023766,0.03833333333333333,1.0,0.8099230676764034,0.087
135,III,majority,3,1,0.30678181818181816,0.2671766848816029,0.19775547445255476,0.15324497257769654,0.12495421245421245,0.9990384615384615,0.5926935527184445,1.000842105263158
136,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
137,IV,majority,3,1,0.24457272727272727,0.1548816029143898,0.10242700729927007,0.07282449725776965,0.017646520146520146,0.9894505494505494,0.9278475554355567,0.4728421052631579
138,II,majority,3,1,0.17003636363636362,0.08833333333333333,0.0016605839416058395,0.0183363802559415,0.04666666666666667,0.9033333333333333,0.7255489021956087,0.06868421052631579
139,II,majority,3,1,0.28335454545454547,0.04,0.0,0.0066636197440585005,0.01,0.9733333333333334,0.9647085244954923,0.0668421052631579
140,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.0064736842105263155
141,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005947368421052632
142,II,majority,3,1,0.09330909090909091,0.07833333333333334,0.07000912408759125,0.056672760511883,0.06583333333333333,0.8683333333333334,0.294459599896077,0.06505263157894736
143,II,majority,3,1,0.10085454545454546,0.08668488160291439,0.05916058394160584,0.056672760511883,0.06583333333333333,0.8683333333333334,0.34724475692566564,0.06526315789473684
144,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.05568421052631579
145,II,majority,3,1,0.058963636363636364,0.03581967213114754,0.01966240875912409,0.017595978062157222,0.013324175824175824,0.9697527472527473,0.7740272370244617,0.03936842105263158
146,III,majority,3,1,0.1320818181818182,0.12501821493624773,0.11296532846715328,0.11011882998171846,0.10328754578754579,0.9997802197802198,0.21800330121618583,0.6928421052631579
147,IV,majority,3,1,0.1626,0.13112021857923498,0.09947080291970803,0.026782449725776966,0.013635531135531136,0.9962637362637362,0.9161406449229327,0.6676842105263158
148,II,majority,3,1,0.1983090909090909,0.12422586520947176,0.09922445255474452,0.03420475319926874,0.034166666666666665,0.9975,0.8277100333119404,0.08694736842105263
