m,a,b,k,primitive_m,physical_flips,rule,off_code,outer_conflicts,witness_input,witness_other,witness_output
4,5,15,3,2,2,-1,64,0,0,-1,10
4,6,0,1,4,2,-1,5,0,0,-1,10
4,6,0,2,4,2,-1,20,0,0,-1,5
4,6,0,3,4,2,-1,80,0,0,-1,10
4,6,1,1,4,3,-1,8,0,0,-1,10
4,6,1,2,4,3,-1,32,0,0,-1,5
4,6,1,3,4,3,-1,128,0,0,-1,10
4,6,2,1,4,1,-1,6,0,0,-1,10
4,6,2,2,4,1,-1,31,0,0,-1,5
4,6,2,3,4,1,-1,121,0,0,-1,10
4,6,3,1,4,2,-1,8,0,0,-1,10
4,6,3,2,4,2,-1,30,0,0,-1,5
4,6,3,3,4,2,-1,124,0,0,-1,10
4,6,4,1,4,1,-1,8,0,0,-1,10
4,6,4,2,4,1,-1,32,0,0,-1,5
4,6,4,3,4,1,-1,128,0,0,-1,10
4,6,5,1,4,2,-1,8,0,0,-1,10
4,6,5,2,4,2,-1,7,0,2,-1,1
4,6,5,3,4,2,-1,127,0,0,-1,10
4,6,7,1,4,1,-1,8,0,0,-1,10
4,6,7,2,4,1,-1,32,0,0,-1,5
4,6,7,3,4,1,-1,128,0,0,-1,10
4,6,8,1,4,3,-1,8,0,0,-1,10
4,6,8,2,4,3,-1,28,0,0,-1,5
4,6,8,3,4,3,-1,106,0,0,-1,10
4,6,9,1,4,4,-1,8,0,0,-1,10
4,6,9,2,4,4,-1,32,0,0,-1,5
4,6,9,3,4,4,-1,128,0,0,-1,10
4,6,10,1,4,2,-1,6,0,1,-1,11
4,6,10,2,4,2,-1,25,0,0,-1,5
4,6,10,3,4,2,-1,107,0,4,-1,2
4,6,11,1,4,3,-1,8,0,0,-1,10
4,6,11,2,4,3,-1,28,0,0,-1,5
4,6,11,3,4,3,-1,106,0,0,-1,10
4,6,12,1,4,2,-1,8,0,0,-1,10
4,6,12,2,4,2,-1,30,0,0,-1,5
4,6,12,3,4,2,-1,124,0,0,-1,10
4,6,13,1,4,3,-1,8,0,0,-1,10
4,6,13,2,4,3,-1,32,0,0,-1,5
4,6,13,3,4,3,-1,128,0,0,-1,10
4,6,14,1,4,1,-1,6,0,0,-1,10
4,6,14,2,4,1,-1,31,0,0,-1,5
4,6,14,3,4,1,-1,121,0,0,-1,10
4,6,15,1,4,2,-1,5,0,0,-1,10
4,6,15,2,4,2,-1,20,0,0,-1,5
4,6,15,3,4,2,-1,80,0,0,-1,10
4,7,0,1,4,3,-1,5,0,0,-1,11
4,7,0,2,4,3,-1,20,0,0,-1,13
4,7,0,3,4,3,-1,92,0,0,-1,14
4,7,1,1,4,2,-1,8,0,0,-1,11
4,7,1,2,4,2,-1,30,0,0,-1,13
