A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
0,51,4,4,4,one_edit,0,44,30,2640,2992,2992,3118,0,0,44,10,0,34,10,0,34
0,51,4,4,4,far,0,121,60,7560,8528,8528,8817,0,0,121,30,0,91,30,0,91
0,51,4,4,4,one_edit,1,20,10,2160,1920,1920,2000,20,0,0,0,0,20,0,0,20
0,51,4,4,4,unchanged,1,5,5,600,520,520,540,5,0,0,0,0,5,0,0,5
0,51,4,4,4,far,1,55,10,5640,5120,5120,5340,55,0,0,0,0,55,0,0,55
0,51,4,4,16,unchanged,0,11,11,1200,1288,1288,1332,0,0,11,0,0,11,0,0,11
0,51,4,4,16,one_edit,0,44,30,5760,6112,5872,5998,10,0,34,10,0,34,10,0,34
0,51,4,4,16,far,0,121,60,17040,18008,16928,17217,45,0,76,45,0,76,30,0,91
0,51,4,4,16,one_edit,1,20,10,3840,3360,3360,3440,20,0,0,0,0,20,0,0,20
0,51,4,4,16,unchanged,1,5,5,1200,1000,1000,1020,5,0,0,0,0,5,0,0,5
0,51,4,4,16,far,1,55,10,9360,8600,8600,8820,55,0,0,0,0,55,0,0,55
0,51,4,8,1,unchanged,0,11,11,450,538,538,626,0,0,11,0,0,11,0,0,11
0,51,4,8,1,one_edit,0,44,30,1860,2212,2212,2564,0,0,44,0,0,44,0,0,44
0,51,4,8,1,far,0,121,60,5190,6158,6158,7126,0,0,121,0,0,121,0,0,121
0,51,4,8,1,one_edit,1,20,10,1740,1560,1560,1720,10,10,0,0,0,20,0,0,20
0,51,4,8,1,unchanged,1,5,5,450,400,400,440,5,0,0,0,0,5,0,0,5
0,51,4,8,1,far,1,55,10,4710,4250,4250,4690,10,45,0,0,0,55,0,0,55
0,51,4,8,4,unchanged,0,11,11,600,688,688,776,0,0,11,0,0,11,0,0,11
0,51,4,8,4,one_edit,0,44,30,2640,2992,2992,3294,0,0,44,0,0,44,0,0,44
0,51,4,8,4,far,0,121,60,7560,8528,8528,9301,0,0,121,0,0,121,0,0,121
0,51,4,8,4,one_edit,1,20,10,2160,1920,1920,2080,10,10,0,0,0,20,0,0,20
0,51,4,8,4,unchanged,1,5,5,600,520,520,560,5,0,0,0,0,5,0,0,5
0,51,4,8,4,far,1,55,10,5640,5120,5120,5560,10,45,0,0,0,55,0,0,55
0,51,4,8,16,unchanged,0,11,11,1200,1288,1288,1376,0,0,11,0,0,11,0,0,11
0,51,4,8,16,one_edit,0,44,30,5760,6112,5872,6174,10,0,34,10,0,34,0,0,44
0,51,4,8,16,far,0,121,60,17040,18008,16928,17701,45,0,76,45,0,76,0,0,121
0,51,4,8,16,one_edit,1,20,10,3840,3360,3360,3520,10,10,0,0,0,20,0,0,20
0,51,4,8,16,unchanged,1,5,5,1200,1000,1000,1040,5,0,0,0,0,5,0,0,5
0,51,4,8,16,far,1,55,10,9360,8600,8600,9040,10,45,0,0,0,55,0,0,55
4,30,0,0,1,unchanged,0,16,16,900,1028,1028,1028,0,0,16,0,16,0,0,16,0
4,30,0,0,1,one_edit,0,64,0,3600,4112,4112,4112,0,0,64,0,64,0,0,64,0
4,30,0,0,1,far,0,176,2,9900,11308,11308,11308,0,0,176,0,176,0,0,176,0
4,30,0,0,4,unchanged,0,16,16,1200,1328,1328,1328,0,0,16,0,16,0,0,16,0
4,30,0,0,4,one_edit,0,64,0,4800,5312,5312,5312,0,0,64,0,64,0,0,64,0
4,30,0,0,4,far,0,176,2,13200,14608,14608,14608,0,0,176,0,176,0,0,176,0
4,30,0,0,16,unchanged,0,16,16,2400,2528,2528,2528,0,0,16,0,16,0,0,16,0
4,30,0,0,16,one_edit,0,64,0,9600,10112,10112,10112,0,0,64,0,64,0,0,64,0
4,30,0,0,16,far,0,176,2,26400,27808,27808,27808,0,0,176,0,176,0,0,176,0
4,30,0,2,1,unchanged,0,16,16,900,1028,1028,1060,0,0,16,0,0,16,0,0,16
