n,projection,block,stride,ensemble,test_kind,test_seed,model,depth,radius,detector,region,samples,errors,seen,supported,supported_errors,baseline_errors,fixed,broken
420,parity,2,2,1,random,308,history,1,1,r7-14,all,106260,7443,106260,106260,7443,27411,23763,3795
420,parity,2,2,1,ether,0,history,1,1,r3-7,background,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,ether,0,history,1,1,r3-7,ambiguous,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,1,1,r3-7,departure,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,1,1,r3-7,all,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,ether,0,history,1,1,r7-14,background,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,ether,0,history,1,1,r7-14,ambiguous,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,1,1,r7-14,departure,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,1,1,r7-14,all,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,perturbed,401,history,1,1,r3-7,background,83895,0,83895,83895,0,20500,20500,0
420,parity,2,2,1,perturbed,401,history,1,1,r3-7,ambiguous,5732,0,5732,5732,0,1343,1343,0
420,parity,2,2,1,perturbed,401,history,1,1,r3-7,departure,16633,2733,16633,16633,2733,6074,4647,1306
420,parity,2,2,1,perturbed,401,history,1,1,r3-7,all,106260,2733,106260,106260,2733,27917,26490,1306
420,parity,2,2,1,perturbed,401,history,1,1,r7-14,background,73821,0,73821,73821,0,18174,18174,0
420,parity,2,2,1,perturbed,401,history,1,1,r7-14,ambiguous,10074,0,10074,10074,0,2326,2326,0
420,parity,2,2,1,perturbed,401,history,1,1,r7-14,departure,22365,2733,22365,22365,2733,7417,5990,1306
420,parity,2,2,1,perturbed,401,history,1,1,r7-14,all,106260,2733,106260,106260,2733,27917,26490,1306
420,parity,2,2,1,perturbed,402,history,1,1,r3-7,background,80705,0,80705,80705,0,22501,22501,0
420,parity,2,2,1,perturbed,402,history,1,1,r3-7,ambiguous,7730,0,7730,7730,0,1579,1579,0
420,parity,2,2,1,perturbed,402,history,1,1,r3-7,departure,17825,2672,17825,17825,2672,5915,4652,1409
420,parity,2,2,1,perturbed,402,history,1,1,r3-7,all,106260,2672,106260,106260,2672,29995,28732,1409
420,parity,2,2,1,perturbed,402,history,1,1,r7-14,background,69069,0,69069,69069,0,19072,19072,0
420,parity,2,2,1,perturbed,402,history,1,1,r7-14,ambiguous,11636,0,11636,11636,0,3429,3429,0
420,parity,2,2,1,perturbed,402,history,1,1,r7-14,departure,25555,2672,25555,25555,2672,7494,6231,1409
420,parity,2,2,1,perturbed,402,history,1,1,r7-14,all,106260,2672,106260,106260,2672,29995,28732,1409
420,parity,2,2,1,random,301,history,2,1,r3-7,background,44202,0,44202,44202,0,8665,8665,0
420,parity,2,2,1,random,301,history,2,1,r3-7,ambiguous,15516,31,15516,15516,31,3178,3149,2
420,parity,2,2,1,random,301,history,2,1,r3-7,departure,46542,4231,46542,46531,4228,14975,12695,1951
420,parity,2,2,1,random,301,history,2,1,r3-7,all,106260,4262,106260,106249,4259,26818,24509,1953
420,parity,2,2,1,random,301,history,2,1,r7-14,background,26287,0,26287,26287,0,4884,4884,0
420,parity,2,2,1,random,301,history,2,1,r7-14,ambiguous,17915,0,17915,17915,0,3781,3781,0
420,parity,2,2,1,random,301,history,2,1,r7-14,departure,62058,4262,62058,62047,4259,18153,15844,1953
420,parity,2,2,1,random,301,history,2,1,r7-14,all,106260,4262,106260,106249,4259,26818,24509,1953
420,parity,2,2,1,random,302,history,2,1,r3-7,background,43949,1,43949,43949,1,8001,8000,0
420,parity,2,2,1,random,302,history,2,1,r3-7,ambiguous,14994,53,14994,14994,53,3107,3093,39
420,parity,2,2,1,random,302,history,2,1,r3-7,departure,47317,4676,47317,47313,4675,15156,12509,2029
420,parity,2,2,1,random,302,history,2,1,r3-7,all,106260,4730,106260,106256,4729,26264,23602,2068
420,parity,2,2,1,random,302,history,2,1,r7-14,background,25242,1,25242,25242,1,4221,4220,0
420,parity,2,2,1,random,302,history,2,1,r7-14,ambiguous,18707,0,18707,18707,0,3780,3780,0
420,parity,2,2,1,random,302,history,2,1,r7-14,departure,62311,4729,62311,62307,4728,18263,15602,2068
420,parity,2,2,1,random,302,history,2,1,r7-14,all,106260,4730,106260,106256,4729,26264,23602,2068
420,parity,2,2,1,random,303,history,2,1,r3-7,background,48097,2,48097,48097,2,8452,8451,1
420,parity,2,2,1,random,303,history,2,1,r3-7,ambiguous,14820,32,14820,14820,32,2990,2959,1
420,parity,2,2,1,random,303,history,2,1,r3-7,departure,43343,3965,43343,43341,3963,14040,11962,1887
420,parity,2,2,1,random,303,history,2,1,r3-7,all,106260,3999,106260,106258,3997,25482,23372,1889
420,parity,2,2,1,random,303,history,2,1,r7-14,background,28352,1,28352,28352,1,4249,4249,1
420,parity,2,2,1,random,303,history,2,1,r7-14,ambiguous,19745,1,19745,19745,1,4203,4202,0
420,parity,2,2,1,random,303,history,2,1,r7-14,departure,58163,3997,58163,58161,3995,17030,14921,1888
420,parity,2,2,1,random,303,history,2,1,r7-14,all,106260,3999,106260,106258,3997,25482,23372,1889
420,parity,2,2,1,random,304,history,2,1,r3-7,background,50024,4,50024,50024,4,9899,9896,1
420,parity,2,2,1,random,304,history,2,1,r3-7,ambiguous,13522,51,13522,13522,51,2908,2903,46
420,parity,2,2,1,random,304,history,2,1,r3-7,departure,42714,4122,42714,42707,4119,14023,11534,1633
420,parity,2,2,1,random,304,history,2,1,r3-7,all,106260,4177,106260,106253,4174,26830,24333,1680
420,parity,2,2,1,random,304,history,2,1,r7-14,background,32015,2,32015,32015,2,6086,6085,1
420,parity,2,2,1,random,304,history,2,1,r7-14,ambiguous,18009,2,18009,18009,2,3813,3811,0
420,parity,2,2,1,random,304,history,2,1,r7-14,departure,56236,4173,56236,56229,4170,16931,14437,1679
420,parity,2,2,1,random,304,history,2,1,r7-14,all,106260,4177,106260,106253,4174,26830,24333,1680
420,parity,2,2,1,random,305,history,2,1,r3-7,background,59207,3,59207,59207,3,14924,14923,2
420,parity,2,2,1,random,305,history,2,1,r3-7,ambiguous,10640,16,10640,10640,16,2324,2320,12
420,parity,2,2,1,random,305,history,2,1,r3-7,departure,36413,3588,36413,36404,3587,12211,10086,1463
420,parity,2,2,1,random,305,history,2,1,r3-7,all,106260,3607,106260,106251,3606,29459,27329,1477
420,parity,2,2,1,random,305,history,2,1,r7-14,background,44609,1,44609,44609,1,11457,11456,0
420,parity,2,2,1,random,305,history,2,1,r7-14,ambiguous,14598,2,14598,14598,2,3467,3467,2
420,parity,2,2,1,random,305,history,2,1,r7-14,departure,47053,3604,47053,47044,3603,14535,12406,1475
420,parity,2,2,1,random,305,history,2,1,r7-14,all,106260,3607,106260,106251,3606,29459,27329,1477
420,parity,2,2,1,random,306,history,2,1,r3-7,background,53867,0,53867,53867,0,13434,13434,0
420,parity,2,2,1,random,306,history,2,1,r3-7,ambiguous,11966,51,11966,11966,51,2534,2494,11
420,parity,2,2,1,random,306,history,2,1,r3-7,departure,40427,4322,40427,40424,4321,13619,11187,1890
420,parity,2,2,1,random,306,history,2,1,r3-7,all,106260,4373,106260,106257,4372,29587,27115,1901
420,parity,2,2,1,random,306,history,2,1,r7-14,background,39188,0,39188,39188,0,9868,9868,0
420,parity,2,2,1,random,306,history,2,1,r7-14,ambiguous,14679,0,14679,14679,0,3566,3566,0
420,parity,2,2,1,random,306,history,2,1,r7-14,departure,52393,4373,52393,52390,4372,16153,13681,1901
420,parity,2,2,1,random,306,history,2,1,r7-14,all,106260,4373,106260,106257,4372,29587,27115,1901
420,parity,2,2,1,random,307,history,2,1,r3-7,background,53545,0,53545,53545,0,10171,10171,0
420,parity,2,2,1,random,307,history,2,1,r3-7,ambiguous,12280,39,12280,12280,39,2601,2586,24
420,parity,2,2,1,random,307,history,2,1,r3-7,departure,40435,4403,40435,40431,4403,13702,11150,1851
420,parity,2,2,1,random,307,history,2,1,r3-7,all,106260,4442,106260,106256,4442,26474,23907,1875
420,parity,2,2,1,random,307,history,2,1,r7-14,background,36699,0,36699,36699,0,6467,6467,0
420,parity,2,2,1,random,307,history,2,1,r7-14,ambiguous,16846,0,16846,16846,0,3704,3704,0
420,parity,2,2,1,random,307,history,2,1,r7-14,departure,52715,4442,52715,52711,4442,16303,13736,1875
420,parity,2,2,1,random,307,history,2,1,r7-14,all,106260,4442,106260,106256,4442,26474,23907,1875
420,parity,2,2,1,random,308,history,2,1,r3-7,background,52263,0,52263,52263,0,11586,11586,0
420,parity,2,2,1,random,308,history,2,1,r3-7,ambiguous,12477,46,12477,12477,46,2555,2543,34
420,parity,2,2,1,random,308,history,2,1,r3-7,departure,41520,3989,41520,41513,3988,13270,11130,1849
420,parity,2,2,1,random,308,history,2,1,r3-7,all,106260,4035,106260,106253,4034,27411,25259,1883
420,parity,2,2,1,random,308,history,2,1,r7-14,background,37333,0,37333,37333,0,8328,8328,0
420,parity,2,2,1,random,308,history,2,1,r7-14,ambiguous,14930,0,14930,14930,0,3258,3258,0
420,parity,2,2,1,random,308,history,2,1,r7-14,departure,53997,4035,53997,53990,4034,15825,13673,1883
420,parity,2,2,1,random,308,history,2,1,r7-14,all,106260,4035,106260,106253,4034,27411,25259,1883
420,parity,2,2,1,ether,0,history,2,1,r3-7,background,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,ether,0,history,2,1,r3-7,ambiguous,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,2,1,r3-7,departure,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,2,1,r3-7,all,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,ether,0,history,2,1,r7-14,background,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,ether,0,history,2,1,r7-14,ambiguous,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,2,1,r7-14,departure,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,2,1,r7-14,all,106260,0,106260,106260,0,30360,30360,0
420,parity,2,2,1,perturbed,401,history,2,1,r3-7,background,83895,1,83895,83895,1,20500,20499,0
420,parity,2,2,1,perturbed,401,history,2,1,r3-7,ambiguous,5732,19,5732,5732,19,1343,1341,17
420,parity,2,2,1,perturbed,401,history,2,1,r3-7,departure,16633,1367,16633,16632,1367,6074,5250,543
420,parity,2,2,1,perturbed,401,history,2,1,r3-7,all,106260,1387,106260,106259,1387,27917,27090,560
420,parity,2,2,1,perturbed,401,history,2,1,r7-14,background,73821,1,73821,73821,1,18174,18173,0
420,parity,2,2,1,perturbed,401,history,2,1,r7-14,ambiguous,10074,0,10074,10074,0,2326,2326,0
