rule_a,rule_b,regime,density,activity,baseline,autonomy_r1,autonomy_r2,autonomy_r3
34,126,drain,0.4,0.47,0.6,0.71,1.0,1.0
72,142,drain,0.16,0.19,0.84,1.0,1.0,1.0
132,198,drain,0.0,0.0,1.0,1.0,1.0,1.0
54,163,drain,0.5096,0.514,0.5096,0.6958,0.7766,0.8039
92,155,drain,0.5013,0.4807,0.5013,0.5771,0.5862,0.594
142,164,drain,0.0,0.0,1.0,1.0,1.0,1.0
6,232,drain,0.0,0.0,1.0,1.0,1.0,1.0
35,94,drain,0.6317,0.5232,0.6317,0.6431,0.9963,0.9969
30,104,drain,0.305,0.3099,0.695,0.8075,0.8775,0.9325
211,233,drain,0.0,0.0,1.0,1.0,1.0,1.0
124,205,drain,0.2488,0.335,0.7512,0.8262,0.8875,0.9101
50,153,drain,0.4829,0.4701,0.5171,0.6992,0.7075,0.7079
136,178,drain,0.0,0.0,1.0,1.0,1.0,1.0
217,251,drain,0.0,0.0,1.0,1.0,1.0,1.0
30,137,drain,0.5069,0.4988,0.5069,0.6717,0.6717,0.6722
216,236,drain,0.0,0.0,1.0,1.0,1.0,1.0
38,128,drain,0.0,0.0,1.0,1.0,1.0,1.0
193,249,drain,0.255,0.33,0.745,1.0,1.0,1.0
32,92,drain,0.0,0.0,1.0,1.0,1.0,1.0
144,223,drain,0.0,0.0,1.0,1.0,1.0,1.0
83,110,drain,0.4748,0.4336,0.5252,0.6198,0.6444,0.6766
1,118,drain,0.4731,0.504,0.5269,0.586,0.7758,0.7827
206,232,drain,0.0,0.0,1.0,1.0,1.0,1.0
182,234,drain,0.07,0.0,0.93,1.0,1.0,1.0
154,249,drain,0.24,0.0,0.76,1.0,1.0,1.0
60,147,drain,0.5376,0.4739,0.5376,0.77,0.77,0.77
38,52,drain,0.1483,0.2706,0.8517,0.8517,0.867,0.8774
20,222,drain,0.305,0.4,0.695,0.775,1.0,1.0
52,238,drain,0.245,0.38,0.755,1.0,1.0,1.0
56,195,drain,0.4684,0.4565,0.5316,0.5579,0.8551,0.857
226,236,drain,0.0,0.0,1.0,1.0,1.0,1.0
226,235,drain,0.0,0.0,1.0,1.0,1.0,1.0
58,66,drain,0.19,0.25,0.81,0.81,1.0,1.0
128,207,drain,0.37,0.29,0.63,1.0,1.0,1.0
8,26,drain,0.0,0.0,1.0,1.0,1.0,1.0
56,96,drain,0.0,0.0,1.0,1.0,1.0,1.0
217,232,drain,0.0,0.0,1.0,1.0,1.0,1.0
233,235,drain,0.0,0.0,1.0,1.0,1.0,1.0
36,74,drain,0.155,0.26,0.845,1.0,1.0,1.0
127,201,drain,0.0925,0.045,0.9075,0.96,0.9775,0.9825
164,180,drain,0.075,0.09,0.925,1.0,1.0,1.0
53,244,drain,0.065,0.0401,0.935,0.9701,0.9826,0.9826
121,211,drain,0.5211,0.4986,0.5211,0.7817,0.9155,0.9257
15,205,drain,0.0,0.0,1.0,1.0,1.0,1.0
155,219,drain,0.0,0.0,1.0,1.0,1.0,1.0
52,172,drain,0.39,0.0,0.61,1.0,1.0,1.0
219,235,drain,0.0,0.0,1.0,1.0,1.0,1.0
100,164,drain,0.23,0.0,0.77,1.0,1.0,1.0
184,202,drain,0.075,0.0,0.925,1.0,1.0,1.0
143,156,drain,0.58,0.0,0.58,1.0,1.0,1.0
5,198,drain,0.435,0.4825,0.565,0.5763,0.8499,0.8913
14,185,drain,0.3,0.2147,0.7,0.7976,0.825,0.8401
72,88,drain,0.0,0.0,1.0,1.0,1.0,1.0
213,218,drain,0.0,0.0,1.0,1.0,1.0,1.0
211,248,drain,0.07,0.08,0.93,1.0,1.0,1.0
104,180,drain,0.05,0.04,0.95,1.0,1.0,1.0
125,246,drain,0.4843,0.9177,0.5157,0.9923,0.9959,0.9985
129,245,drain,0.49,0.46,0.51,0.675,1.0,1.0
4,20,drain,0.0,0.0,1.0,1.0,1.0,1.0
34,118,drain,0.365,0.49,0.635,0.73,1.0,1.0
52,185,drain,0.5835,0.4994,0.5835,0.9987,0.9991,0.9994
17,108,drain,0.035,0.07,0.965,0.9649,0.9649,0.9649
166,231,drain,0.275,0.31,0.725,0.725,1.0,1.0
89,254,drain,0.435,0.26,0.565,0.74,0.7924,0.85
192,209,drain,0.22,0.38,0.78,0.79,1.0,1.0
121,189,drain,0.5568,0.4654,0.5568,0.6259,0.9322,0.9416
29,168,drain,0.3075,0.225,0.6925,0.8125,0.8674,0.8999
126,161,drain,0.5003,0.5049,0.5003,0.5049,0.9774,0.9774
40,104,drain,0.0,0.0,1.0,1.0,1.0,1.0
146,200,drain,0.0,0.0,1.0,1.0,1.0,1.0
13,129,drain,0.4958,0.4902,0.5042,0.5419,0.6966,0.6991
160,188,drain,0.0,0.0,1.0,1.0,1.0,1.0
208,219,drain,0.0,0.0,1.0,1.0,1.0,1.0
137,241,drain,0.29,0.3,0.71,1.0,1.0,1.0
81,169,drain,0.503,0.4874,0.503,0.5647,0.7128,0.7185
132,188,drain,0.155,0.15,0.845,0.8975,0.9675,0.9775
52,141,drain,0.5066,0.4772,0.5066,0.5826,0.5926,0.5987
158,236,drain,0.0,0.0,1.0,1.0,1.0,1.0
59,108,drain,0.5342,0.4845,0.5342,0.7167,0.7274,0.7515
31,227,noisy,0.4673,0.5028,0.5327,0.6035,0.6612,0.681
131,158,noisy,0.5189,0.5011,0.5189,0.5269,0.6055,0.6069
28,65,noisy,0.487,0.5024,0.513,0.6166,0.9396,0.9397
152,153,noisy,0.4956,0.4929,0.5044,0.5809,0.7121,0.7128
71,230,noisy,0.4982,0.463,0.5018,0.6242,0.6984,0.7251
137,229,noisy,0.5225,0.4939,0.5225,0.6707,0.6876,0.6895
103,133,noisy,0.5071,0.5318,0.5071,0.5778,0.6585,0.7391
61,177,noisy,0.4761,0.5056,0.5239,0.5808,0.6798,0.6807
123,145,noisy,0.4733,0.5126,0.5267,0.5608,0.6544,0.6571
182,227,noisy,0.3447,0.3484,0.6553,0.6552,0.9634,0.9634
62,230,noisy,0.454,0.5379,0.546,0.6639,0.8836,0.9037
132,173,noisy,0.524,0.4668,0.524,0.6407,0.6902,0.6927
182,225,noisy,0.4245,0.4018,0.5755,0.5982,0.8567,0.8567
69,100,noisy,0.4862,0.4995,0.5138,0.5679,0.5928,0.5962
86,218,noisy,0.5069,0.4782,0.5069,0.5258,0.6351,0.6353
87,121,noisy,0.4953,0.2495,0.5047,0.7858,0.8492,0.8934
97,101,noisy,0.5342,0.4872,0.5342,0.5442,0.6339,0.6363
72,147,noisy,0.5871,0.4937,0.5871,0.7423,0.7533,0.7688
177,203,noisy,0.4851,0.472,0.5149,0.5783,0.5888,0.5964
131,183,noisy,0.3904,0.5055,0.6096,0.6098,0.9785,0.9794
132,137,noisy,0.5318,0.5106,0.5318,0.5663,0.6566,0.658
5,104,noisy,0.5372,0.499,0.5372,0.5377,0.7362,0.744
99,132,noisy,0.5208,0.4759,0.5208,0.5599,0.644,0.6527
41,152,noisy,0.472,0.4954,0.528,0.5403,0.6284,0.6296
127,165,noisy,0.4983,0.4968,0.5017,0.5282,0.982,0.9826
82,132,noisy,0.4121,0.5003,0.5879,0.9724,0.9724,0.9724
169,182,noisy,0.4021,0.3792,0.5979,0.6208,0.8694,0.8694
66,118,noisy,0.5284,0.504,0.5284,0.5979,0.9271,0.9348
73,85,noisy,0.6531,0.3481,0.6531,0.6537,0.9779,0.9779
75,214,noisy,0.5032,0.4818,0.5032,0.5271,0.5724,0.5748
