m,w,area,a,b,k,u,v,rule,physical_flips
1,5,5,0,4,1,0,0,0,1
1,5,5,0,6,1,0,0,204,2
1,5,5,0,7,1,0,0,204,3
1,5,5,0,8,1,0,0,0,1
1,5,5,0,12,1,0,0,204,2
1,5,5,0,14,1,0,0,204,3
1,5,5,0,16,1,0,0,0,1
1,5,5,0,24,1,0,0,204,2
1,5,5,0,28,1,0,0,204,3
1,5,5,0,31,1,0,0,204,5
1,5,5,1,0,1,0,0,255,1
1,5,5,2,0,1,0,0,255,1
1,5,5,3,0,1,0,0,204,2
1,5,5,3,6,1,0,0,204,2
1,5,5,3,7,1,0,0,204,1
1,5,5,3,19,1,0,0,204,1
1,5,5,3,24,1,0,0,204,4
1,5,5,3,28,1,0,0,204,5
1,5,5,3,31,1,0,0,204,3
1,5,5,4,0,1,0,0,255,1
1,5,5,6,0,1,0,0,204,2
1,5,5,6,3,1,0,0,204,2
1,5,5,6,7,1,0,0,204,1
1,5,5,6,12,1,0,0,204,2
1,5,5,6,14,1,0,0,204,1
1,5,5,7,0,1,0,0,204,3
1,5,5,7,3,1,0,0,204,1
1,5,5,7,6,1,0,0,204,1
1,5,5,7,19,1,0,0,204,2
1,5,5,7,24,1,0,0,204,5
1,5,5,7,28,1,0,0,204,4
1,5,5,7,31,1,0,0,204,2
1,5,5,8,0,1,0,0,255,1
1,5,5,12,0,1,0,0,204,2
1,5,5,12,6,1,0,0,204,2
1,5,5,12,14,1,0,0,204,1
1,5,5,12,24,1,0,0,204,2
1,5,5,12,28,1,0,0,204,1
1,5,5,14,0,1,0,0,204,3
1,5,5,14,6,1,0,0,204,1
1,5,5,14,12,1,0,0,204,1
1,5,5,15,31,1,0,0,255,1
1,5,5,16,0,1,0,0,255,1
1,5,5,17,19,1,0,0,204,1
1,5,5,17,25,1,0,0,204,1
1,5,5,17,31,1,0,0,204,3
1,5,5,19,3,1,0,0,204,1
1,5,5,19,7,1,0,0,204,2
1,5,5,19,17,1,0,0,204,1
1,5,5,19,25,1,0,0,204,2
1,5,5,19,31,1,0,0,204,2
1,5,5,23,31,1,0,0,255,1
1,5,5,24,0,1,0,0,204,2
1,5,5,24,3,1,0,0,204,4
1,5,5,24,7,1,0,0,204,5
1,5,5,24,12,1,0,0,204,2
1,5,5,24,25,1,0,0,204,1
1,5,5,24,28,1,0,0,204,1
1,5,5,24,31,1,0,0,204,3
1,5,5,25,17,1,0,0,204,1
1,5,5,25,19,1,0,0,204,2
1,5,5,25,24,1,0,0,204,1
1,5,5,25,28,1,0,0,204,2
1,5,5,25,31,1,0,0,204,2
1,5,5,27,31,1,0,0,255,1
1,5,5,28,0,1,0,0,204,3
1,5,5,28,3,1,0,0,204,5
1,5,5,28,7,1,0,0,204,4
1,5,5,28,12,1,0,0,204,1
1,5,5,28,24,1,0,0,204,1
1,5,5,28,25,1,0,0,204,2
1,5,5,28,31,1,0,0,204,2
1,5,5,29,31,1,0,0,255,1
1,5,5,30,31,1,0,0,255,1
1,5,5,31,0,1,0,0,204,5
1,5,5,31,3,1,0,0,204,3
1,5,5,31,7,1,0,0,204,2
1,5,5,31,15,1,0,0,0,1
1,5,5,31,17,1,0,0,204,3
1,5,5,31,19,1,0,0,204,2
1,5,5,31,23,1,0,0,0,1
1,5,5,31,24,1,0,0,204,3
1,5,5,31,25,1,0,0,204,2
1,5,5,31,27,1,0,0,0,1
1,5,5,31,28,1,0,0,204,2
1,5,5,31,29,1,0,0,0,1
1,5,5,31,30,1,0,0,0,1
1,5,5,0,1,1,1,0,0,1
1,5,5,0,2,1,1,0,0,1
1,5,5,0,4,1,1,0,0,1
1,5,5,0,8,1,1,0,0,1
